
*---------- Result file number [0] ----------*
  * File name   : C:\Users\gmdms\Desktop\측정 데이터\EIS\240207 SOC별 EIS 테스트 (충방전기)\240206 SOC별 EIS 테스트 (포텐시오스텟)\Potentiostat_SOC vs EIS_1_01.SDE
  * Device Information : Channel 1 [Device 2, Device channel 1]  * Data version : 0001  * Test duration : 2024/02/06 17:52:28 ~ 2024/02/07 15:55:05
      -> Current convention : Anodic )  * Channel : 1 (Device : 2<R04BA2311016>, Device channel : 1 )
  * Firmware version : USB( 6.7.4.0 ) , FPGA( 6.7.4.3 ) , DSP( 6.7.4.7 )
  * Flow status : READY , Error status : NONE  * Data count : 1649
  * Sequence file : C:\ZIVE DATA\SM6\schedule\3.0-4.3 SoC vs EIS (CCCV).ZSC
  * Tester : 
  * Memo : 

---------------------------	---------------------------	---------------------------	---------------------------	---------------------------	
                File Number	                List Number	                  Frequency	                      Zreal	                       -Zim	
                           	                           	                         Hz	                        Ohm	                        Ohm	
---------------------------	---------------------------	---------------------------	---------------------------	---------------------------	
                          1	                         69	6.81289978027e+002	5.23668050766e+000	1.49826681614e+000	
                          1	                         70	4.64160003662e+002	5.61140680313e+000	1.65647816658e+000	
                          1	                         71	3.16230010986e+002	6.03334665298e+000	1.81864392757e+000	
                          1	                         72	2.15440002441e+002	6.49962234497e+000	1.98049712181e+000	
                          1	                         73	1.46779998779e+002	7.00204467773e+000	2.13940477371e+000	
                          1	                         74	1.00000000000e+002	7.54927062988e+000	2.30428409576e+000	
                          1	                         75	6.81289978027e+001	8.13762950897e+000	2.46486687660e+000	
                          1	                         76	4.64160003662e+001	8.79792690277e+000	2.60360765457e+000	
                          1	                         77	3.16229991913e+001	9.49860763550e+000	2.73474454880e+000	
                          1	                         78	2.15440006256e+001	1.02362384796e+001	2.81493902206e+000	
                          1	                         79	1.46780004501e+001	1.09825735092e+001	2.84649682045e+000	
                          1	                         80	1.00000000000e+001	1.17224750519e+001	2.84093761444e+000	
                          1	                         81	6.81290006638e+000	1.24541854858e+001	2.80731225014e+000	
                          1	                         82	4.64160013199e+000	1.31713705063e+001	2.74805545807e+000	
                          1	                         83	3.16230010986e+000	1.38695058823e+001	2.65798878670e+000	
                          1	                         84	2.15440011024e+000	1.45312929153e+001	2.53240466118e+000	
                          1	                         85	1.46780002117e+000	1.51408863068e+001	2.38651251793e+000	
                          1	                         86	1.00000000000e+000	1.56745967865e+001	2.24458718300e+000	
                          1	                         87	6.81289970875e-001	1.61295242310e+001	2.13267683983e+000	
                          1	                         88	4.64159995317e-001	1.65239620209e+001	2.12199521065e+000	
                          1	                         89	3.16229999065e-001	1.68775386810e+001	2.20543050766e+000	
